Status,Date,Description,Debit,Credit
Cleared,05/03/2019,"SP * ROOMDIVIDERSNOW BARRINGTON",125.99,
Cleared,05/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,05/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,05/01/2019,"SUNRISE MART - SOHO 00 NEW YORK",11.88,
Cleared,04/29/2019,"ONLINE PAYMENT, THANK YOU",,-317.66
Cleared,04/29/2019,"ROYAL INDIAN GRILL 000 HAMILTON",24.49,
Cleared,04/29/2019,"USPS KIOSK 3596479552 NEW YORK",5.65,
Cleared,04/29/2019,"AUTOBAHN SERVICE CENTE NEW YORK",32.66,
Cleared,04/28/2019,"FOJO BEANS COFFEE ROAS Hamilton",7.91,
Cleared,04/28/2019,"BLUEOX NEIGHBORHOOD 00 NORWICH",23.43,
Cleared,04/28/2019,"VALERO FUEL MAHWAH 000 MAHWAH",24.45,
Cleared,04/12/2019,"GIKACOUSTICS 7709862789",3095.66,
Cleared,04/06/2019,"TIME WARNER ENTRMT 718-358-0900",64.98,
Cleared,04/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,04/01/2019,"BACKBLAZE SAN MATEO",12.00,
Cleared,03/31/2019,"ONLINE PAYMENT, THANK YOU",,-595.88
Cleared,03/11/2019,"LITTLENECK OUTPOST Brooklyn",4.50,
Cleared,03/11/2019,"SILK ROAD CYCLES Brooklyn",43.55,
Cleared,03/10/2019,"BIER INTERNATIONAL New York",67.28,
Cleared,03/10/2019,"DUNKIN #341698 Q35 341 SOUTHPORT",4.14,
Cleared,03/10/2019,"SENOR SALSA 00-0802733 FAIRFIELD",8.77,
Cleared,03/10/2019,"BP#4837415138 PETROLEU BRONX",11.12,
Cleared,03/10/2019,"CROSSROADSGLOBALCITGO NORWALK",27.85,
Cleared,03/09/2019,"STARBUCKS STORE 1026 FAIRFIELD",2.61,
Cleared,03/09/2019,"DUNKIN #300342 Q35 300 FAIRFIELD",4.14,
Cleared,03/09/2019,"PRONTO FAIRFIELD",9.03,
Cleared,03/08/2019,"BARBARA'S FLOWERS 0217 NEW YORK",32.66,
Cleared,03/05/2019,"STRINGSMAIL 2312237788",90.01,
Cleared,03/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,03/01/2019,"BACKBLAZE SAN MATEO",10.00,
Cleared,03/01/2019,"AUTO 800-841-3000",496.50,
Cleared,02/28/2019,"ONLINE PAYMENT, THANK YOU",,-305.08
Cleared,02/21/2019,"THE LASERS EDGE 000000 VOORHEES",16.40,
Cleared,02/06/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,02/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,02/01/2019,"BACKBLAZE SAN MATEO",10.00,
Cleared,01/31/2019,"ONLINE PAYMENT, THANK YOU",,-311.30
Cleared,01/31/2019,"NYCT EASYPAY PROGRAM NEWYORK",30.00,
Cleared,01/27/2019,"ZENWORK, INC FAYETTEVILLE",5.80,
Cleared,01/24/2019,"GRUBHUB*THAISOUP NEW YORK",13.39,
Cleared,01/17/2019,"BACKCOUNTRY.COM 800-409-4502",169.92,
Cleared,01/06/2019,"TIME WARNER ENTRMT 718-358-0900",69.99,
Cleared,01/02/2019,"GOOGLE *GOOGLE STORAGE 855-836-3987",2.99,
Cleared,01/01/2019,"BACKBLAZE SAN MATEO",10.00,
